Category,Country,Continent,Year,Usage,FossilType,Measurement,Latitude,Longitude,iso_alpha
Coal Consumption,Morocco,Africa,1965,0.0076092,Coal,Exajoules,31.791702,-7.09262,MAR
Coal Consumption,South Africa,Africa,1965,1.032339276,Coal,Exajoules,-30.559482,22.937506,ZAF
Coal Consumption,Australia,Asia Pacific,1965,0.7273,Coal,Exajoules,-25.274398,133.775136,AUS
Coal Consumption,China,Asia Pacific,1965,4.79053656,Coal,Exajoules,35.86166,104.195397,CHN
Coal Consumption,China Hong Kong SAR,Asia Pacific,1965,0.005149764,Coal,Exajoules,22.32789401,114.1798757,HKG
Coal Consumption,India,Asia Pacific,1965,1.488266464,Coal,Exajoules,20.593684,78.96288,IND
Coal Consumption,Indonesia,Asia Pacific,1965,0.005400972,Coal,Exajoules,-0.789275,113.921327,IDN
Coal Consumption,Japan,Asia Pacific,1965,2.03948239,Coal,Exajoules,36.204824,138.252924,JPN
Coal Consumption,Malaysia,Asia Pacific,1965,0.00062802,Coal,Exajoules,4.210484,101.975766,MYS
Coal Consumption,New Zealand,Asia Pacific,1965,0.06887286,Coal,Exajoules,-40.900557,174.885971,NZL
Coal Consumption,Pakistan,Asia Pacific,1965,0.057735972,Coal,Exajoules,30.375321,69.345116,PAK
Coal Consumption,Philippines,Asia Pacific,1965,0.001855883,Coal,Exajoules,12.879721,121.774017,PHL
Coal Consumption,Singapore,Asia Pacific,1965,0.000167472,Coal,Exajoules,1.352083,103.819836,SGP
Coal Consumption,South Korea,Asia Pacific,1965,0.207330336,Coal,Exajoules,36.61375976,127.7174212,KOR
Coal Consumption,Taiwan,Asia Pacific,1965,0.12497598,Coal,Exajoules,23.69781,120.960515,TWN
Coal Consumption,Thailand,Asia Pacific,1965,0.00188406,Coal,Exajoules,15.870032,100.992541,THA
Coal Consumption,Vietnam,Asia Pacific,1965,0.037576971,Coal,Exajoules,14.058324,108.277199,VNM
Oil Production,Canada,North America,1965,43.87417767,Oil,Million tonnes,56.130366,-106.346771,CAN
Oil Production,Mexico,North America,1965,18.05389406,Oil,Million tonnes,23.634501,-102.552784,MEX
Oil Production,US,North America,1965,427.6944419,Oil,Million tonnes,37.09024,-95.712891,USA
Oil Production,Argentina,S. & Cent. America,1965,13.76475862,Oil,Million tonnes,-38.416097,-63.616672,ARG
Oil Production,Brazil,S. & Cent. America,1965,5.045191279,Oil,Million tonnes,-14.235004,-51.92528,BRA
